Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4
Bracket Stage new,Open Pro,Bracket A,Semi-final,Best of 3,NEM - Bazzani/Borsotti,Pour sophie,NEM - Bazzani/Borsotti,21,10,21,9,,,Andrea Borsotti,Nicola Bazzani,,,Dorian Améziane,Louis Mareschal,,
Bracket Stage new,Open Pro,Bracket A,P5: Semi-final,Single game,Misty Moonshot,Christiani/Harder,Christiani/Harder,16,21,,,,,Théo Vanh Hemelryck,Pierre Lecrosnier,,,Jonathan Harder,Lucas Christiani,,
Bracket Stage new,Open Pro,Bracket A,P9: Semi-final,Single game,Off Grid Grinders,nerds in disguise,nerds in disguise,19,21,,,,,Georg Seiffarth,Pascal Schlosser,,,Stefan Handschmann,David Jindra,,
Bracket Stage new,Open Pro,Bracket A,P9: Semi-final,Single game,Smile,Find the surname,Smile,22,20,,,,,Gabriel Stoisser,Felix Millton,,,Roman Peter,Yannick Robert,,
Bracket Stage new,Open Pro,Bracket A,P13: Semi-final,Single game,Le Spiko de Familia,BRRRAS,Le Spiko de Familia,21,10,,,,,Andreas Christensen,Kasper Søvndal,,,Lucas Alexandre Rohrbach,Mathias Felipe Rios Rohrbach,,
Bracket Stage new,Open Pro,Bracket A,P13: Semi-final,Single game,🖕🔄,TV Time,🖕🔄,21,14,,,,,Tim Bichler,Marcus Gauterin,,,Frederik Theunis,Gauthier Vandamme,,
Bracket Stage new,Open Pro,Bracket A,P17: Semi-final,Single game,Pipino,Leidenfrost/Perriraz,Pipino,21,16,,,,,Giacomo Merlin,riccardo mercadini,,,Nicolas Perriraz,David Leidenfrost,,
Bracket Stage new,Open Pro,Bracket A,P17: Semi-final,Single game,Roundnet Palombie,put ons,Roundnet Palombie,21,19,,,,,Yanis Bouchemoua,Aymeric Sandoz,,,Dominik Moritz,Aleksandrs Juška,,
Bracket Stage new,Open Pro,Bracket A,P21: Semi-final,Single game,Minor,OussaMaë,Minor,21,18,,,,,Max Jansson,Paul Halphen,,,Maëlig Potiau,Oussama Tchita,,
Bracket Stage new,Open Pro,Bracket A,P21: Semi-final,Single game,Package E?,Anderle/Petersen,Anderle/Petersen,15,21,,,,,Erik Borja Forschner Mitre,Marcos Bermudez Muratel,,,Markus Anderle,Jan Petersen,,
Bracket Stage new,Open Pro,Bracket A,Final,Best of 3,Willy Wonka,NEM - Bazzani/Borsotti,NEM - Bazzani/Borsotti,5,21,10,21,,,Rasmus Prüfer,Emil Grönebaum,,,Andrea Borsotti,Nicola Bazzani,,
Bracket Stage new,Open Pro,Bracket A,P3: Final,Single game,Pour sophie,Zwaffle everyone,Zwaffle everyone,17,21,,,,,Dorian Améziane,Louis Mareschal,,,Robin Florinda,Levi Vandaele,,
Bracket Stage new,Open Pro,Bracket A,P5: Final,Single game,BigBoys,Christiani/Harder,Christiani/Harder,13,21,,,,,Luca Tosatti,Matteo Sacchini,,,Jonathan Harder,Lucas Christiani,,
Bracket Stage new,Open Pro,Bracket A,P7: Final,Single game,Misty Moonshot,Triple X,Misty Moonshot,21,19,,,,,Théo Vanh Hemelryck,Pierre Lecrosnier,,,Laura Kunzelmann,Paul Siemer,,
Bracket Stage new,Open Pro,Bracket A,P9: Final,Single game,nerds in disguise,Smile,Smile,10,21,,,,,Stefan Handschmann,David Jindra,,,Gabriel Stoisser,Felix Millton,,
Bracket Stage new,Open Pro,Bracket A,P11: Final,Single game,Find the surname,Off Grid Grinders,Find the surname,21,10,,,,,Roman Peter,Yannick Robert,,,Georg Seiffarth,Pascal Schlosser,,
Bracket Stage new,Open Pro,Bracket A,P13: Final,Single game,Le Spiko de Familia,🖕🔄,Le Spiko de Familia,21,19,,,,,Andreas Christensen,Kasper Søvndal,,,Tim Bichler,Marcus Gauterin,,
Bracket Stage new,Open Pro,Bracket A,P17: Final,Single game,Pipino,Roundnet Palombie,Roundnet Palombie,19,21,,,,,Giacomo Merlin,riccardo mercadini,,,Yanis Bouchemoua,Aymeric Sandoz,,
Bracket Stage new,Open Pro,Bracket A,P19: Final,Single game,put ons,Leidenfrost/Perriraz,put ons,21,16,,,,,Dominik Moritz,Aleksandrs Juška,,,Nicolas Perriraz,David Leidenfrost,,
Group Stage,Open Contender,Group A,1,Single game,V-Kings,WS Gołaszewski/Foks,V-Kings,15,7,,,,,wout thysens,Tuur Demaegdt,,,Andrzej Gołaszewski,Mateusz Foks,,
Group Stage,Open Contender,Group A,1,Single game,Les Joutoux,WS Beer,Les Joutoux,15,9,,,,,Bryan Rodon,Emeric Lemoine,,,Michał Kusztal,Mateusz Kusztal,,
Group Stage,Open Contender,Group B,1,Single game,Sensei,Titanic Duo,Sensei,15,9,,,,,Mindaugas Butkus,Ugnius Lekecinskas,,,Fouliard Baptiste,Quentin Rouhier,,
Group Stage,Open Contender,Group B,1,Single game,Bacchus e benessere,Deepdive-Darmstadt,Deepdive-Darmstadt,11,15,,,,,Louen Previtali,luc beltrando,,,Niklas Grünewald,Max Syndikus,,
Group Stage,Open Contender,Group C,1,Single game,Chaos Theory,Swisschoclate,Chaos Theory,15,13,,,,,Christian Brødsgaard,Mathias Linnet,,,Noé Reinhardt,Théo Zwahlen,,
Group Stage,Open Contender,Group C,1,Single game,RRR (Rnt Rivals Reunited) 🐯,Men in block,RRR (Rnt Rivals Reunited) 🐯,15,13,,,,,Senthil Siva,Alberto Amato,,,Quentin COUYRAS,Jean Kervella,,
Group Stage,Open Contender,Group D,1,Single game,Le beurre et l'argent du beurre,Streuselbrötchen,Streuselbrötchen,10,15,,,,,Alec Gautier,karim lahoud,,,Rafael Miranda Lima,Henning Franzel,,
Group Stage,Open Contender,Group D,1,Single game,Les petits flocons,Insane Mainzset,Insane Mainzset,12,15,,,,,Simon Chervin,Remi Salles,,,Lars Rudorf,Malte Fromm,,
Group Stage,Open Contender,Group E,1,Single game,Limón y Pumba,RCG ChrisTops,RCG ChrisTops,12,15,,,,,Tavo Garcia,Topias Zein,,,Thomas Pschaid,Christoph Lorenzoni,,
Group Stage,Open Contender,Group E,1,Single game,Xavi / Chris,SpikeOps,Xavi / Chris,15,9,,,,,Xavi Fermoso,Christopher Behrmann,,,Adriaan Van Gerven,Wout Seynaeve,,
