Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Group Stage,Open Contender,Group D,2,Single game,Gilles leftovers,Dragonfoxes are pretty dope 🐉🦊,Gilles leftovers,15,14,,,,,Maëlig Potiau,Hugo Lebeaupin,,wout thysens,Igor Jottrand,
Group Stage,Open Contender,Group A,3,Single game,Robin's disciples,Yezknedl,Robin's disciples,15,10,,,,,Levi Vandaele,Vincent Mathieu,,Fre Eskens,Benjamin Bachler,
Group Stage,Open Contender,Group A,3,Single game,P'tits Loups,BEL - Theunis/Declercq,P'tits Loups,15,12,,,,,Gilles Hublet,Gauthier Vandamme,,Bram Declercq,Frederik Theunis,RB Roundnet Belgium
Group Stage,Open Contender,Group B,3,Single game,Here Aghent,JuPikaï,JuPikaï,14,15,,,,,Robin Florinda,Markus Anderle,,Pierre BUTTET,Julien Blanchard,
Group Stage,Open Contender,Group B,3,Single game,Aach Daniel,Burger Kings,Burger Kings,12,15,,,,,Dominik Moritz,Daniel Schimek,,Jorn neyens,joeri vlassaks,
Group Stage,Open Contender,Group C,3,Single game,Kero Kero Cigaro,Rocket Power,Kero Kero Cigaro,15,7,,,,,Lei Decappelle,Pieter De Pauw,,Adriaan Van Gerven,Stijn Van den Branden,
Group Stage,Open Contender,Group C,3,Single game,Paulo Rico,Roundnet maestro's,Paulo Rico,15,13,,,,,Paul Volle,Emeric Lemoine,,Tomer Kedar,Micha Daling,
Group Stage,Open Contender,Group D,3,Single game,Poel/Van Eeckhaute,Gilles leftovers,Poel/Van Eeckhaute,15,12,,,,,Guillaume Van Eeckhaute,Florian Poel,,Maëlig Potiau,Hugo Lebeaupin,
Group Stage,Open Contender,Group D,3,Single game,Uno Reverse,Dragonfoxes are pretty dope 🐉🦊,Dragonfoxes are pretty dope 🐉🦊,14,15,,,,,Martijn Paes,Daan Paes,,wout thysens,Igor Jottrand,
Group Stage,Open Contender,Group A,4,Single game,Robin's disciples,BEL - Theunis/Declercq,Robin's disciples,15,9,,,,,Levi Vandaele,Vincent Mathieu,,Bram Declercq,Frederik Theunis,RB Roundnet Belgium
Group Stage,Open Contender,Group A,4,Single game,Yezknedl,P'tits Loups,Yezknedl,15,14,,,,,Fre Eskens,Benjamin Bachler,,Gilles Hublet,Gauthier Vandamme,
Group Stage,Open Contender,Group B,4,Single game,Here Aghent,Burger Kings,Here Aghent,15,11,,,,,Robin Florinda,Markus Anderle,,Jorn neyens,joeri vlassaks,
Group Stage,Open Contender,Group B,4,Single game,JuPikaï,Aach Daniel,JuPikaï,15,12,,,,,Pierre BUTTET,Julien Blanchard,,Dominik Moritz,Daniel Schimek,
Group Stage,Open Contender,Group C,4,Single game,Kero Kero Cigaro,Roundnet maestro's,Roundnet maestro's,14,15,,,,,Lei Decappelle,Pieter De Pauw,,Tomer Kedar,Micha Daling,
Group Stage,Open Contender,Group C,4,Single game,Rocket Power,Paulo Rico,Paulo Rico,10,15,,,,,Adriaan Van Gerven,Stijn Van den Branden,,Paul Volle,Emeric Lemoine,
Group Stage,Open Contender,Group D,4,Single game,Poel/Van Eeckhaute,Dragonfoxes are pretty dope 🐉🦊,Poel/Van Eeckhaute,15,13,,,,,Guillaume Van Eeckhaute,Florian Poel,,wout thysens,Igor Jottrand,
Group Stage,Open Contender,Group D,4,Single game,Gilles leftovers,Uno Reverse,Uno Reverse,11,15,,,,,Maëlig Potiau,Hugo Lebeaupin,,Martijn Paes,Daan Paes,
Group Stage,Open Contender,Group A,5,Single game,Robin's disciples,P'tits Loups,Robin's disciples,15,9,,,,,Levi Vandaele,Vincent Mathieu,,Gilles Hublet,Gauthier Vandamme,
Group Stage,Open Contender,Group A,5,Single game,Yezknedl,BEL - Theunis/Declercq,BEL - Theunis/Declercq,12,15,,,,,Fre Eskens,Benjamin Bachler,,Bram Declercq,Frederik Theunis,RB Roundnet Belgium
Group Stage,Open Contender,Group B,5,Single game,Here Aghent,Aach Daniel,Here Aghent,15,10,,,,,Robin Florinda,Markus Anderle,,Dominik Moritz,Daniel Schimek,
