Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Game 4 - Score team A,Game 4 - Score team B,Game 5 - Score team A,Game 5 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4
Bracket Stage,Women's Contender,Bracket A,Round of 16,Best of 3,Carry Set,PEACHES,Carry Set,21,10,21,12,,,,,,,Malia Wanderer,Abigale Lamontagne,,,Lourna Szabanos,Kailey Windsor,,
Bracket Stage,Women's Contender,Bracket A,Round of 16,Best of 3,Dough Boys,Musty and Traveler,Dough Boys,21,13,21,11,,,,,,,Kirstie Savage,Camille Anderson,,,Abby Cham,Alex Veron,,
Bracket Stage,Women's Contender,Bracket A,Round of 16,Best of 3,Soft Serve,Berk/Gahley,Soft Serve,17,21,21,18,25,23,,,,,Perrin York,Kayla Ngai,,,Nicol Gahley,Shaina Berk,,
Bracket Stage,Women's Contender,Bracket A,Quarter-final,Best of 3,KickStart,Soft Serve,KickStart,21,12,21,18,,,,,,,Sarah Allen,Karah Hui,,,Perrin York,Kayla Ngai,,
Bracket Stage,Women's Contender,Bracket A,Quarter-final,Best of 3,THUS Parabatai,Dough Boys,THUS Parabatai,21,14,21,19,,,,,,,Kayla Wu,Kalin Morgan,,,Kirstie Savage,Camille Anderson,,
Bracket Stage,Women's Contender,Bracket A,Quarter-final,Best of 3,ellelowe sebmarine,Carry Set,ellelowe sebmarine,21,18,21,19,,,,,,,Elle Lowe,Sebastiani Kim,,,Malia Wanderer,Abigale Lamontagne,,
Bracket Stage,Women's Contender,Bracket A,Quarter-final,Best of 3,Pierson/Phan,Semi-Aquatic Mammals of Action,Pierson/Phan,21,18,21,18,,,,,,,Katheleen Phan,Katie Pierson,,,Joelle Nguyen,Jhanaj Quispe,,
Bracket Stage,Women's Contender,Bracket A,P9: Quarter-final,Single game,WA-ID,Heatwaves,WA-ID,2,0,,,,,,,,,Maia Aton,Lindy Westendorf,,,Jessica Borgers,Becca Feller,,
Bracket Stage,Women's Contender,Bracket A,Semi-final,Best of 3,KickStart,Pierson/Phan,KickStart,21,18,21,18,,,,,,,Sarah Allen,Karah Hui,,,Katheleen Phan,Katie Pierson,,
Bracket Stage,Women's Contender,Bracket A,Semi-final,Best of 3,THUS Parabatai,ellelowe sebmarine,THUS Parabatai,21,16,17,21,21,18,,,,,Kayla Wu,Kalin Morgan,,,Elle Lowe,Sebastiani Kim,,
Bracket Stage,Women's Contender,Bracket A,P5: Semi-final,Single game,Carry Set,Dough Boys,Carry Set,2,1,,,,,,,,,Malia Wanderer,Abigale Lamontagne,,,Kirstie Savage,Camille Anderson,,
Bracket Stage,Women's Contender,Bracket A,P9: Semi-final,Single game,Berk/Gahley,WA-ID,Berk/Gahley,21,16,,,,,,,,,Nicol Gahley,Shaina Berk,,,Maia Aton,Lindy Westendorf,,
Bracket Stage,Women's Contender,Bracket A,Final,Best of 3,KickStart,THUS Parabatai,KickStart,16,21,21,17,21,17,,,,,Sarah Allen,Karah Hui,,,Kayla Wu,Kalin Morgan,,
Bracket Stage,Women's Contender,Bracket A,P3: Final,Best of 3,ellelowe sebmarine,Pierson/Phan,Pierson/Phan,14,21,24,22,16,21,,,,,Elle Lowe,Sebastiani Kim,,,Katheleen Phan,Katie Pierson,,
Group Stage,Open,Group A,1,Single game,S/C,Kyler/Chandler,S/C,21,16,,,,,,,,,Taylor Church,Matt Spolarich,,,Kyler Cote,Chandler Hertzler,,
Group Stage,Open,Group A,1,Single game,Kingdom Dumb,Hits on Two,Kingdom Dumb,21,15,,,,,,,,,Dallin James,Jason Small,,,Jackson Blackburn,Kyler Burton,,
Group Stage,Open,Group B,1,Single game,Mickey Mouse Club House,Utards,Mickey Mouse Club House,21,16,,,,,,,,,Josef Quispe,Joey Reynolds,,,Caleb Jarrett,Jake LeBaron,,
Group Stage,Open,Group B,1,Single game,Yo Gabba Gabba,Pocket Aces,Yo Gabba Gabba,21,17,,,,,,,,,Juan Moscoso,Derek Tang,,,Micah Allin,Garrett Ashton,,
Group Stage,Open,Group C,1,Single game,Clueless,Dollar Tree Roundnet,Dollar Tree Roundnet,22,24,,,,,,,,,Joey Maichen,Tyler Fernandez,,,Connor Larsen,Grant Gouger,,
Group Stage,Open,Group C,1,Single game,sleepy time💤💤,TheGOATGene,sleepy time💤💤,21,11,,,,,,,,,Bradley Clark,Izayah Gibson,,,Wesley Tunelius,Brian Lin,,
Group Stage,Open,Group D,1,Single game,Disordered,The Lopes,Disordered,21,10,,,,,,,,,Andrew Greer,Solomon Berry,,,Nathan Paauw,Adam Prudhomme,,
Group Stage,Open,Group D,1,Single game,Amnesia,Eureka,Amnesia,21,15,,,,,,,,,Garrett Carver,Tyler Stokes,,,Nathan Montgomery,Wyatt Semke,,
Group Stage,Open,Group E,1,Single game,Your Bad,Trust us,Your Bad,21,19,,,,,,,,,Trevor Barbosa,Andrew Kosche,,,Kelly O’Connor,Cody Brower,,
